epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1065.75,0.50371,0.51573,0.85566,0.82993,0.86286,0.89412,0.81711,0.45615,0.51257,0.8293,0.000240575,0.000240575,0.000240575
43,1091.3,0.50086,0.51437,0.85708,0.84259,0.8767,0.89516,0.81533,0.44516,0.49583,0.82305,0.000229209,0.000229209,0.000229209
44,1116.42,0.49575,0.50235,0.85259,0.83185,0.86384,0.89479,0.81771,0.44572,0.49566,0.82296,0.000217933,0.000217933,0.000217933
45,1141.42,0.49115,0.4972,0.85342,0.8852,0.87086,0.90937,0.83053,0.44805,0.48639,0.82003,0.000206768,0.000206768,0.000206768
46,1166.44,0.49117,0.49115,0.84915,0.86071,0.86375,0.90435,0.82855,0.44051,0.49037,0.82312,0.000195732,0.000195732,0.000195732
47,1192.35,0.48661,0.48145,0.84954,0.87487,0.86347,0.90078,0.82869,0.43522,0.48613,0.81874,0.000184846,0.000184846,0.000184846
48,1217.41,0.48348,0.48446,0.8481,0.84221,0.8821,0.90336,0.83102,0.43777,0.49236,0.82027,0.000174128,0.000174128,0.000174128
49,1242.86,0.47849,0.47139,0.84843,0.87741,0.87467,0.9068,0.83478,0.43379,0.48199,0.81691,0.000163597,0.000163597,0.000163597
50,1267.94,0.4795,0.47235,0.85006,0.86422,0.86214,0.90765,0.83677,0.43908,0.4761,0.81601,0.000153272,0.000153272,0.000153272
51,1293.41,0.4756,0.46881,0.84856,0.87774,0.84244,0.90528,0.8366,0.43753,0.47049,0.8158,0.00014317,0.00014317,0.00014317
52,1318.79,0.47164,0.46115,0.8476,0.86254,0.86763,0.8989,0.83081,0.42776,0.47115,0.81999,0.00013331,0.00013331,0.00013331
53,1343.8,0.47157,0.45845,0.85134,0.8685,0.85231,0.90181,0.83224,0.42897,0.47775,0.81561,0.000123708,0.000123708,0.000123708
54,1368.75,0.47518,0.46488,0.84908,0.87005,0.86687,0.90009,0.82954,0.42717,0.47006,0.81471,0.000114382,0.000114382,0.000114382
55,1394.2,0.46613,0.4522,0.84805,0.86096,0.86793,0.89588,0.82768,0.42832,0.46492,0.81562,0.000105348,0.000105348,0.000105348
56,1419.12,0.46411,0.45037,0.84662,0.85339,0.86513,0.90343,0.834,0.42443,0.46432,0.81923,9.66219e-05,9.66219e-05,9.66219e-05
57,1444.14,0.4596,0.44709,0.84504,0.82537,0.88115,0.90226,0.83156,0.42361,0.46731,0.81719,8.82187e-05,8.82187e-05,8.82187e-05
58,1469.14,0.4638,0.44753,0.8439,0.86244,0.86392,0.90425,0.83697,0.42328,0.45862,0.81816,8.01533e-05,8.01533e-05,8.01533e-05
59,1494.15,0.45453,0.4389,0.84237,0.86922,0.86807,0.90597,0.84052,0.41613,0.45121,0.81314,7.24398e-05,7.24398e-05,7.24398e-05
60,1519.68,0.45455,0.441,0.84307,0.85871,0.87321,0.90035,0.83634,0.41474,0.45786,0.81184,6.50919e-05,6.50919e-05,6.50919e-05
61,1545.2,0.45751,0.439,0.84354,0.87481,0.86354,0.90927,0.84361,0.41727,0.45592,0.81329,5.81223e-05,5.81223e-05,5.81223e-05
62,1570.38,0.4538,0.43507,0.84161,0.87296,0.86116,0.9019,0.83813,0.41165,0.45585,0.813,5.15434e-05,5.15434e-05,5.15434e-05
63,1596.03,0.45407,0.43261,0.84117,0.88231,0.86961,0.90786,0.84421,0.40995,0.45081,0.81281,4.53666e-05,4.53666e-05,4.53666e-05
64,1621.62,0.44707,0.42733,0.84046,0.87206,0.86613,0.90511,0.84084,0.41169,0.44904,0.81251,3.96029e-05,3.96029e-05,3.96029e-05
65,1646.85,0.44728,0.42421,0.84095,0.87215,0.87198,0.90515,0.84025,0.40671,0.44492,0.8116,3.42622e-05,3.42622e-05,3.42622e-05
66,1674.14,0.46097,0.45195,0.82175,0.86952,0.85385,0.8942,0.82591,0.43016,0.46815,0.81676,2.9354e-05,2.9354e-05,2.9354e-05
67,1698.65,0.43794,0.41541,0.81693,0.88245,0.8536,0.89812,0.82654,0.43449,0.46067,0.81465,2.48869e-05,2.48869e-05,2.48869e-05
68,1723.71,0.43399,0.41081,0.81706,0.87045,0.86193,0.89651,0.82995,0.42286,0.45688,0.81267,2.08687e-05,2.08687e-05,2.08687e-05
69,1748.21,0.42706,0.40307,0.81587,0.85815,0.87417,0.89715,0.83168,0.42049,0.45306,0.81286,1.73065e-05,1.73065e-05,1.73065e-05
70,1772.68,0.43539,0.4045,0.8152,0.87382,0.86696,0.89702,0.82986,0.4191,0.45202,0.81218,1.42065e-05,1.42065e-05,1.42065e-05
71,1797.31,0.42332,0.39607,0.8147,0.87833,0.86472,0.89884,0.83229,0.41747,0.44982,0.81108,1.15742e-05,1.15742e-05,1.15742e-05
72,1822.49,0.42783,0.39622,0.81405,0.87957,0.86259,0.89907,0.83286,0.41714,0.44961,0.81112,9.41417e-06,9.41417e-06,9.41417e-06
73,1846.99,0.43358,0.39856,0.81655,0.87765,0.87011,0.90058,0.83391,0.41785,0.44734,0.81105,7.73019e-06,7.73019e-06,7.73019e-06
74,1872.05,0.42593,0.39465,0.81615,0.87744,0.86983,0.89995,0.83442,0.41681,0.4476,0.8105,6.52524e-06,6.52524e-06,6.52524e-06
75,1896.65,0.43415,0.40153,0.81601,0.87808,0.86713,0.9001,0.83526,0.41771,0.44726,0.81073,5.80141e-06,5.80141e-06,5.80141e-06
